region,AGS,tooltip
Roigheim,08125084,"In Langballig hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 0.6 verringert."
"Schwaigern, Stadt",08125086,"In Langdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 4.0 erhöht."
Siegelsbach,08125087,"In Langeln hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.2 auf 4.0 verringert."
Talheim,08125094,"In Langelsheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 4.4 erhöht."
Untereisesheim,08125096,"In Langen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 5.0 erhöht."
Untergruppenbach,08125098,"In Langen (Hessen) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 11.4 erhöht."
"Weinsberg, Stadt",08125102,"In Langen Brütz hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.6 auf 4.0 verringert."
"Widdern, Stadt",08125103,"In Langenaltheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 5.8 erhöht."
Wüstenrot,08125107,"In Langenargen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 4.8 erhöht."
Zaberfeld,08125108,"In Langenau hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.6 erhöht."
Obersulm,08125110,"In Langenbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 5.2 erhöht."
Hardthausen am Kocher,08125111,"In Langenbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 7.2 erhöht."
Langenbrettach,08125113,"In Langenbach bei Kirburg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 2.6 erhöht."
Bretzfeld,08126011,"In Langenbacher Forst hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 0.8 auf 3.2 erhöht."
Dörzbach,08126020,"In Langenberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.8 auf 6.6 erhöht."
"Forchtenberg, Stadt",08126028,"In Langenbernsdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 7.0 erhöht."
"Ingelfingen, Stadt",08126039,"In Langenbrettach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 9.6 erhöht."
"Krautheim, Stadt",08126045,"In Langenburg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 6.8 erhöht."
"Künzelsau, Stadt",08126046,"In Langendorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.6 auf 6.8 erhöht."
Kupferzell,08126047,"In Langenenslingen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 4.4 erhöht."
Mulfingen,08126056,"In Langeneß hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 1.2 verringert."
"Neuenstein, Stadt",08126058,"In Langenfeld hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 3.8 erhöht."
"Niedernhall, Stadt",08126060,"In Langenfeld hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 7.0 erhöht."
"Öhringen, Stadt",08126066,"In Langenfeld (Rhld.) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.2 auf 7.6 erhöht."
Pfedelbach,08126069,"In Langenhagen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 5.8 erhöht."
Schöntal,08126072,"In Langenhahn hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 3.2 erhöht."
"Waldenburg, Stadt",08126085,"In Langenhorn hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 1.6 verringert."
Weißbach,08126086,"In Langenlehsten hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.4 auf 5.4 verringert."
Zweiflingen,08126094,"In Langenleuba-Niederhain hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 8.2 erhöht."
Blaufelden,08127008,"In Langenlonsheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.2 erhöht."
Braunsbach,08127009,"In Langenmosen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 6.6 erhöht."
Bühlertann,08127012,"In Langenneufnach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 6.6 erhöht."
Bühlerzell,08127013,"In Langenorla hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.2 erhöht."
"Crailsheim, Stadt",08127014,"In Langenpreising hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 7.2 erhöht."
Fichtenberg,08127023,"In Langenprozeltener Forst hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.2 erhöht."
"Gaildorf, Stadt",08127025,"In Langenscheid hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.4 erhöht."
"Gerabronn, Stadt",08127032,"In Langenselbold hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 8.8 erhöht."
"Ilshofen, Stadt",08127043,"In Langensendelbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 7.2 erhöht."
"Kirchberg an der Jagst, Stadt",08127046,"In Langenthal hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.8 erhöht."
"Langenburg, Stadt",08127047,"In Langenweißbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.4 erhöht."
Mainhardt,08127052,"In Langenwetzendorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 7.0 erhöht."
Michelbach an der Bilz,08127056,"In Langenwolschendorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.4 erhöht."
Michelfeld,08127059,"In Langenzenn hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 7.2 erhöht."
Oberrot,08127062,"In Langeoog hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 1.8 erhöht."
Obersontheim,08127063,"In Langerringen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.4 auf 6.2 erhöht."
Rot am See,08127071,"In Langerwehe hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.8 auf 6.6 erhöht."
Satteldorf,08127073,"In Langewahl hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 7.0 auf 9.4 erhöht."
"Schrozberg, Stadt",08127075,"In Langfurth hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.4 erhöht."
"Schwäbisch Hall, Stadt",08127076,"In Langgöns hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 5.2 erhöht."
Sulzbach-Laufen,08127079,"In Langlingen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 5.2 erhöht."
Untermünkheim,08127086,"In Langquaid hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 7.6 erhöht."
"Vellberg, Stadt",08127089,"In Langscheid hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 3.8 erhöht."
Wallhausen,08127091,"In Langstedt hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 1.4 verringert."
Wolpertshausen,08127099,"In Langsur hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 5.0 erhöht."
Rosengarten,08127100,"In Langwedel hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 1.8 verringert."
Kreßberg,08127101,"In Langwedel hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.4 auf 5.2 erhöht."
Fichtenau,08127102,"In Langweid a.Lech hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.8 erhöht."
Frankenhardt,08127103,"In Langweiler hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 4.0 erhöht."
Stimpfach,08127104,"In Langweiler hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.2 erhöht."
Assamstadt,08128006,"In Langwieden hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 5.8 erhöht."
"Bad Mergentheim, Stadt",08128007,"In Lanitz-Hassel-Tal hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 7.4 erhöht."
"Boxberg, Stadt",08128014,"In Lankau hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 4.8 verringert."
"Creglingen, Stadt",08128020,"In Lanz hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.6 auf 5.6 verringert."
"Freudenberg, Stadt",08128039,"In Lanze hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 6.4 erhöht."
Großrinderfeld,08128045,"In Lappersdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 8.0 erhöht."
"Grünsfeld, Stadt",08128047,"In Lasbek hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.6 auf 3.8 verringert."
Igersheim,08128058,"In Lascheid hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 0.8 auf 3.4 erhöht."
Königheim,08128061,"In Lasel hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 0.8 auf 3.6 erhöht."
"Külsheim, Stadt",08128064,"In Lassan hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 3.6 erhöht."
"Niederstetten, Stadt",08128082,"In Lastrup hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.4 auf 4.4 erhöht."
"Tauberbischofsheim, Stadt",08128115,"In Latendorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.8 auf 3.0 verringert."
"Weikersheim, Stadt",08128126,"In Lathen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 3.6 erhöht."
Werbach,08128128,"In Laubach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 4.0 erhöht."
"Wertheim, Stadt",08128131,"In Laubach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.4 erhöht."
Wittighausen,08128137,"In Laubach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.0 erhöht."
Ahorn,08128138,"In Lauben hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.4 erhöht."
"Lauda-Königshofen, Stadt",08128139,"In Lauben hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 4.8 erhöht."
Dischingen,08135010,"In Laubenheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.2 erhöht."
Gerstetten,08135015,"In Laucha an der Unstrut hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.6 erhöht."
"Giengen an der Brenz, Stadt",08135016,"In Lauchhammer hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.8 auf 10.0 erhöht."
"Heidenheim an der Brenz, Stadt",08135019,"In Lauchheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 5.6 erhöht."
"Herbrechtingen, Stadt",08135020,"In Lauchringen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 3.8 erhöht."
Hermaringen,08135021,"In Lauda-Königshofen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.4 erhöht."
Königsbronn,08135025,"In Laudenbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 7.4 erhöht."
Nattheim,08135026,"In Laudenbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.2 erhöht."
"Niederstotzingen, Stadt",08135027,"In Laudert hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.0 erhöht."
Sontheim an der Brenz,08135031,"In Lauenau hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.8 auf 4.4 verringert."
Steinheim am Albuch,08135032,"In Lauenbrück hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 4.8 erhöht."
Abtsgmünd,08136002,"In Lauenburg/Elbe hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 6.4 erhöht."
Adelmannsfelden,08136003,"In Lauenförde hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 2.8 erhöht."
Bartholomä,08136007,"In Lauenhagen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.4 auf 5.2 verringert."
Böbingen an der Rems,08136009,"In Lauf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 6.4 erhöht."
"Bopfingen, Stadt",08136010,"In Lauf a.d.Pegnitz hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 7.0 erhöht."
Durlangen,08136015,"In Laufach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.2 erhöht."
Ellenberg,08136018,"In Laufamholzer Forst hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.8 erhöht."
"Ellwangen (Jagst), Stadt",08136019,"In Laufeld hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 4.0 erhöht."
Eschach,08136020,"In Laufen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 6.8 erhöht."
Essingen,08136021,"In Laufenburg (Baden) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 0.6 auf 3.0 erhöht."
Göggingen,08136024,"In Laufersweiler hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.8 erhöht."
Gschwend,08136027,"In Lauffen am Neckar hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.6 auf 9.2 erhöht."
"Heubach, Stadt",08136028,"In Laugna hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.4 erhöht."
Heuchlingen,08136029,"In Lauingen (Donau) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.4 erhöht."
Hüttlingen,08136033,"In Laumersheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 10.2 erhöht."
Iggingen,08136034,"In Lauperath hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 0.8 auf 3.4 erhöht."
Jagstzell,08136035,"In Laupheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 5.2 erhöht."
Kirchheim am Ries,08136037,"In Laurenburg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.2 erhöht."
"Lauchheim, Stadt",08136038,"In Lauscha hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 3.4 erhöht."
Leinzell,08136040,"In Lauschied hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.6 erhöht."
"Lorch, Stadt",08136042,"In Lausnitz b.Neustadt an der Orla hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.6 erhöht."
Mögglingen,08136043,"In Lauta hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.2 auf 10.8 erhöht."
Mutlangen,08136044,"In Lautenbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.2 erhöht."
"Neresheim, Stadt",08136045,"In Lauter hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.8 erhöht."
Neuler,08136046,"In Lauter-Bernsbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.6 erhöht."
Obergröningen,08136049,"In Lauterach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 4.4 erhöht."
"Oberkochen, Stadt",08136050,"In Lauterbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 4.4 erhöht."
Rosenberg,08136060,"In Lauterbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 4.2 erhöht."
Ruppertshofen,08136061,"In Lauterbach (Hessen) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.6 erhöht."
Schechingen,08136062,"In Lauterecken hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.8 erhöht."
"Schwäbisch Gmünd, Stadt",08136065,"In Lauterhofen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.6 erhöht."
Spraitbach,08136066,"In Lautersheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 8.0 erhöht."
Stödtlen,08136068,"In Lauterstein hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 5.8 erhöht."
Täferrot,08136070,"In Lautert hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 3.8 erhöht."
Tannhausen,08136071,"In Lautertal hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 4.2 erhöht."
Unterschneidheim,08136075,"In Lautertal (Odenwald) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 9.0 erhöht."
Waldstetten,08136079,"In Lautertal (Vogelsberg) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 3.2 erhöht."
Westhausen,08136082,"In Lautrach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 5.2 erhöht."
Wört,08136084,"In Lautzenbrücken hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 2.6 erhöht."
Riesbürg,08136087,"In Lautzenhausen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.0 erhöht."
"Aalen, Stadt",08136088,"In Laußig hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 9.6 erhöht."
Rainau,08136089,"In Laußnitz hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.2 auf 9.4 erhöht."
"Baden-Baden, Stadt",08211000,"In Lawalde hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 7.0 erhöht."
"Karlsruhe, Stadt",08212000,"In Lawitz hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 8.0 auf 9.6 erhöht."
"Bretten, Stadt",08215007,"In Lebach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 5.2 erhöht."
"Bruchsal, Stadt",08215009,"In Lebrade hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 2.0 verringert."
"Ettlingen, Stadt",08215017,"In Lebus hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.4 auf 9.2 erhöht."
Forst,08215021,"In Lebusa hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 7.8 auf 10.0 erhöht."
Gondelsheim,08215025,"In Lechbruck am See hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 0.6 auf 3.4 erhöht."
Hambrücken,08215029,"In Leck hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.4 auf 1.6 verringert."
Kronau,08215039,"In Lederhose hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 6.8 erhöht."
Kürnbach,08215040,"In Leegebruch hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.8 auf 7.8 erhöht."
Malsch,08215046,"In Leer (Ostfriesland) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 2.4 verringert."
Marxzell,08215047,"In Leese hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.2 auf 5.6 erhöht."
Oberderdingen,08215059,"In Leezdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 2.0 erhöht."
"Östringen, Stadt",08215064,"In Leezen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.6 auf 3.6 verringert."
"Philippsburg, Stadt",08215066,"In Leezen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.4 auf 4.0 verringert."
Sulzfeld,08215082,"In Legau hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 5.0 erhöht."
Ubstadt-Weiher,08215084,"In Legde/Quitzöbel hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 6.8 auf 6.0 verringert."
Walzbachtal,08215089,"In Legden hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 7.0 erhöht."
Weingarten (Baden),08215090,"In Lehe hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 2.0 verringert."
Zaisenhausen,08215094,"In Lehe hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 2.6 verringert."
Karlsbad,08215096,"In Lehesten hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.2 erhöht."
"Kraichtal, Stadt",08215097,"In Lehesten hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 6.8 erhöht."
Graben-Neudorf,08215099,"In Lehmen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 5.0 erhöht."
Bad Schönborn,08215100,"In Lehmkuhlen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 1.8 verringert."
Pfinztal,08215101,"In Lehmrade hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 4.8 verringert."
Eggenstein-Leopoldshafen,08215102,"In Lehnstedt hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.2 erhöht."
Karlsdorf-Neuthard,08215103,"In Lehrberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 6.8 erhöht."
Linkenheim-Hochstetten,08215105,"In Lehre hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 6.6 erhöht."
"Waghäusel, Stadt",08215106,"In Lehrensteinsfeld hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 9.6 erhöht."
Oberhausen-Rheinhausen,08215107,"In Lehrte hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 5.6 erhöht."
"Rheinstetten, Stadt",08215108,"In Leibertingen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 3.6 erhöht."
"Stutensee, Stadt",08215109,"In Leiblfing hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 8.0 erhöht."
Waldbronn,08215110,"In Leichlingen (Rhld.) hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 7.2 erhöht."
Dettenheim,08215111,"In Leidenborn hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 3.4 erhöht."
Au am Rhein,08216002,"In Leidersbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.6 erhöht."
Bietigheim,08216005,"In Leienkaul hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.8 erhöht."
Bischweier,08216006,"In Leiferde hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 5.2 erhöht."
"Bühl, Stadt",08216007,"In Leimbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.8 erhöht."
Bühlertal,08216008,"In Leimbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 3.8 erhöht."
Durmersheim,08216009,"In Leimbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 4.0 erhöht."
Elchesheim-Illingen,08216012,"In Leimen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 6.0 erhöht."
Forbach,08216013,"In Leimen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 9.2 erhöht."
"Gaggenau, Stadt",08216015,"In Leimersheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 5.0 auf 11.8 erhöht."
"Gernsbach, Stadt",08216017,"In Leinach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.6 erhöht."
Hügelsheim,08216022,"In Leinburg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 7.0 erhöht."
Iffezheim,08216023,"In Leinburg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.2 erhöht."
"Kuppenheim, Stadt",08216024,"In Leinefelde-Worbis hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 4.0 erhöht."
